date,day,month,price
2023-01-01,7,01,413.38461538461536
2023-01-02,1,01,416.2307692307692
2023-01-03,2,01,321.2307692307692
2023-01-04,3,01,360.15384615384613
2023-01-05,4,01,358.9230769230769
2023-01-06,5,01,363.0
2023-01-07,6,01,321.53846153846155
2023-01-08,7,01,321.46153846153845
2023-01-09,1,01,290.0769230769231
2023-01-10,2,01,262.53846153846155
2023-01-11,3,01,247.23076923076923
2023-01-12,4,01,230.76923076923077
2023-01-13,5,01,224.84615384615384
2023-01-14,6,01,234.07692307692307
2023-01-15,7,01,231.0
2023-01-16,1,01,223.76923076923077
2023-01-17,2,01,216.69230769230768
2023-01-18,3,01,224.07692307692307
2023-01-19,4,01,244.0
2023-01-20,5,01,368.2307692307692
2023-01-21,6,01,331.0769230769231
2023-01-22,7,01,251.84615384615384
2023-01-23,1,01,304.6923076923077
2023-01-24,2,01,239.15384615384616
2023-01-25,3,01,304.6923076923077
2023-01-26,4,01,245.30769230769232
2023-01-27,5,01,368.2307692307692
2023-01-28,6,01,361.53846153846155
2023-01-29,7,01,249.76923076923077
2023-01-30,1,01,304.6923076923077
2023-01-31,2,01,215.53846153846155
2023-02-01,3,02,324.61538461538464
2023-02-02,4,02,234.84615384615384
2023-02-03,5,02,318.38461538461536
2023-02-04,6,02,360.0
2023-02-05,7,02,210.07692307692307
2023-02-06,1,02,328.3076923076923
2023-02-07,2,02,229.23076923076923
2023-02-08,3,02,297.6923076923077
2023-02-09,4,02,229.6153846153846
2023-02-10,5,02,380.84615384615387
2023-02-11,6,02,323.53846153846155
2023-02-12,7,02,235.6153846153846
2023-02-13,1,02,290.0
2023-02-14,2,02,223.46153846153845
2023-02-15,3,02,331.3076923076923
2023-02-16,4,02,235.07692307692307
2023-02-17,5,02,386.3076923076923
2023-02-18,6,02,361.53846153846155
2023-02-19,7,02,262.38461538461536
2023-02-20,1,02,324.61538461538464
2023-02-21,2,02,210.84615384615384
2023-02-22,3,02,315.7692307692308
2023-02-23,4,02,290.6923076923077
2023-02-24,5,02,370.2307692307692
2023-02-25,6,02,339.0
2023-02-26,7,02,266.46153846153845
2023-02-27,1,02,290.0
2023-02-28,2,02,224.3846153846154
2023-03-01,3,03,335.2307692307692
2023-03-02,4,03,217.07692307692307
2023-03-03,5,03,381.7692307692308
2023-03-04,6,03,358.53846153846155
2023-03-05,7,03,216.0
2023-03-06,1,03,290.0
2023-03-07,2,03,223.46153846153845
2023-03-08,3,03,332.2307692307692
2023-03-09,4,03,266.61538461538464
2023-03-10,5,03,394.0
2023-03-11,6,03,304.84615384615387
2023-03-12,7,03,257.61538461538464
2023-03-13,1,03,259.46153846153845
2023-03-14,2,03,219.6153846153846
2023-03-15,3,03,324.2307692307692
2023-03-16,4,03,246.69230769230768
2023-03-17,5,03,350.46153846153845
2023-03-18,6,03,358.6923076923077
2023-03-19,7,03,246.3846153846154
2023-03-20,1,03,336.6923076923077
2023-03-21,2,03,230.23076923076923
2023-03-22,3,03,228.76923076923077
2023-03-23,4,03,246.69230769230768
2023-03-24,5,03,381.84615384615387
2023-03-25,6,03,243.53846153846155
2023-03-26,7,03,232.92307692307693
2023-03-27,1,03,208.53846153846155
2023-03-28,2,03,218.69230769230768
2023-03-29,3,03,329.2307692307692
2023-03-30,4,03,226.46153846153845
2023-03-31,5,03,377.6923076923077
2023-04-01,6,04,251.3846153846154
2023-04-02,7,04,232.92307692307693
2023-04-03,1,04,325.61538461538464
2023-04-04,2,04,217.30769230769232
2023-04-05,3,04,352.46153846153845
2023-04-06,4,04,381.3076923076923
2023-04-07,5,04,379.0769230769231
2023-04-08,6,04,362.0
2023-04-09,7,04,233.84615384615384
2023-04-10,1,04,326.53846153846155
2023-04-11,2,04,220.07692307692307
2023-04-12,3,04,330.2307692307692
2023-04-13,4,04,225.92307692307693
2023-04-14,5,04,381.3076923076923
2023-04-15,6,04,307.15384615384613
2023-04-16,7,04,233.30769230769232
2023-04-17,1,04,326.53846153846155
2023-04-18,2,04,217.30769230769232
2023-04-19,3,04,329.2307692307692
2023-04-20,4,04,225.92307692307693
2023-04-21,5,04,371.53846153846155
2023-04-22,6,04,357.3076923076923
2023-04-23,7,04,231.23076923076923
2023-04-24,1,04,325.61538461538464
2023-04-25,2,04,218.69230769230768
2023-04-26,3,04,336.46153846153845
2023-04-27,4,04,250.84615384615384
2023-04-28,5,04,373.38461538461536
2023-04-29,6,04,377.2307692307692
2023-04-30,7,04,293.0
2023-05-01,1,05,324.46153846153845
2023-05-02,2,05,223.84615384615384
2023-05-03,3,05,352.3076923076923
2023-05-04,4,05,375.84615384615387
2023-05-05,5,05,377.0
2023-05-06,6,05,368.61538461538464
2023-05-07,7,05,351.53846153846155
2023-05-08,1,05,325.15384615384613
2023-05-09,2,05,218.69230769230768
2023-05-10,3,05,359.6923076923077
2023-05-11,4,05,374.9230769230769
2023-05-12,5,05,388.9230769230769
2023-05-13,6,05,384.15384615384613
2023-05-14,7,05,350.61538461538464
2023-05-15,1,05,350.9230769230769
2023-05-16,2,05,326.7692307692308
2023-05-17,3,05,237.15384615384616
2023-05-18,4,05,377.46153846153845
2023-05-19,5,05,346.15384615384613
2023-05-20,6,05,257.84615384615387
2023-05-21,7,05,351.53846153846155
2023-05-22,1,05,348.2307692307692
2023-05-23,2,05,326.7692307692308
2023-05-24,3,05,231.84615384615384
2023-05-25,4,05,248.46153846153845
2023-05-26,5,05,334.3076923076923
2023-05-27,6,05,265.38461538461536
2023-05-28,7,05,351.53846153846155
2023-05-29,1,05,352.61538461538464
