date,price
2023-01-01,409.61538461538464
2023-01-02,415.84615384615387
2023-01-03,319.6923076923077
2023-01-04,368.3076923076923
2023-01-05,404.0
2023-01-06,406.46153846153845
2023-01-07,413.3076923076923
2023-01-08,385.0
2023-01-09,360.84615384615387
2023-01-10,361.0
2023-01-11,325.53846153846155
2023-01-12,321.7692307692308
2023-01-13,332.61538461538464
2023-01-14,324.9230769230769
2023-01-15,273.53846153846155
2023-01-16,339.46153846153845
2023-01-17,258.6923076923077
2023-01-18,307.38461538461536
2023-01-19,245.0
2023-01-20,325.46153846153845
2023-01-21,332.15384615384613
2023-01-22,252.84615384615384
2023-01-23,305.3076923076923
2023-01-24,240.15384615384616
2023-01-25,305.3076923076923
2023-01-26,246.30769230769232
2023-01-27,369.3076923076923
2023-01-28,362.6923076923077
2023-01-29,
2023-01-30,228.53846153846155
2023-01-31,240.15384615384616
2023-02-01,324.9230769230769
2023-02-02,235.84615384615384
2023-02-03,221.53846153846155
2023-02-04,361.0769230769231
2023-02-05,214.07692307692307
2023-02-06,328.53846153846155
2023-02-07,230.15384615384616
2023-02-08,298.38461538461536
2023-02-09,230.6153846153846
2023-02-10,381.84615384615387
2023-02-11,323.53846153846155
2023-02-12,236.53846153846155
2023-02-13,290.7692307692308
2023-02-14,224.46153846153845
2023-02-15,331.46153846153845
2023-02-16,235.30769230769232
2023-02-17,387.7692307692308
2023-02-18,362.61538461538464
2023-02-19,263.3076923076923
2023-02-20,324.9230769230769
2023-02-21,219.15384615384616
2023-02-22,316.3076923076923
2023-02-23,291.6923076923077
2023-02-24,373.6923076923077
2023-02-25,340.0769230769231
2023-02-26,267.0769230769231
2023-02-27,290.7692307692308
2023-02-28,225.3846153846154
2023-03-01,335.46153846153845
2023-03-02,234.92307692307693
2023-03-03,382.7692307692308
2023-03-04,359.61538461538464
2023-03-05,243.07692307692307
2023-03-06,290.7692307692308
2023-03-07,224.46153846153845
2023-03-08,332.38461538461536
2023-03-09,267.3076923076923
2023-03-10,395.0769230769231
2023-03-11,381.84615384615387
2023-03-12,257.38461538461536
2023-03-13,322.84615384615387
2023-03-14,219.6153846153846
2023-03-15,323.84615384615387
2023-03-16,217.69230769230768
2023-03-17,350.46153846153845
2023-03-18,358.6923076923077
2023-03-19,246.30769230769232
2023-03-20,335.9230769230769
2023-03-21,230.15384615384616
2023-03-22,339.53846153846155
2023-03-23,246.6153846153846
2023-03-24,381.84615384615387
2023-03-25,354.0769230769231
2023-03-26,232.84615384615384
2023-03-27,324.9230769230769
2023-03-28,218.69230769230768
2023-03-29,328.53846153846155
2023-03-30,226.3846153846154
2023-03-31,376.7692307692308
2023-04-01,361.9230769230769
2023-04-02,232.84615384615384
2023-04-03,324.9230769230769
2023-04-04,217.30769230769232
2023-04-05,351.53846153846155
2023-04-06,327.0769230769231
2023-04-07,379.0769230769231
2023-04-08,361.9230769230769
2023-04-09,217.53846153846155
2023-04-10,325.84615384615387
2023-04-11,220.07692307692307
2023-04-12,329.46153846153845
2023-04-13,225.84615384615384
2023-04-14,381.3076923076923
2023-04-15,374.15384615384613
2023-04-16,233.23076923076923
2023-04-17,325.84615384615387
2023-04-18,218.69230769230768
2023-04-19,328.53846153846155
2023-04-20,225.84615384615384
2023-04-21,371.53846153846155
2023-04-22,357.2307692307692
2023-04-23,231.15384615384616
2023-04-24,324.9230769230769
2023-04-25,218.69230769230768
2023-04-26,219.92307692307693
2023-04-27,250.76923076923077
2023-04-28,373.38461538461536
2023-04-29,377.15384615384613
2023-04-30,359.2307692307692
2023-05-01,323.6923076923077
2023-05-02,223.84615384615384
2023-05-03,351.38461538461536
2023-05-04,289.9230769230769
2023-05-05,376.53846153846155
2023-05-06,372.7692307692308
2023-05-07,350.6923076923077
2023-05-08,325.46153846153845
2023-05-09,218.69230769230768
2023-05-10,358.7692307692308
2023-05-11,374.46153846153845
2023-05-12,388.53846153846155
2023-05-13,384.15384615384613
2023-05-14,349.7692307692308
2023-05-15,253.6153846153846
2023-05-16,326.0769230769231
2023-05-17,237.15384615384616
2023-05-18,377.2307692307692
2023-05-19,345.84615384615387
2023-05-20,257.84615384615387
2023-05-21,350.6923076923077
2023-05-22,347.84615384615387
2023-05-23,326.0769230769231
2023-05-24,236.23076923076923
2023-05-25,243.3846153846154
2023-05-26,264.7692307692308
2023-05-27,265.38461538461536
2023-05-28,350.6923076923077
2023-05-29,254.15384615384616
2023-05-30,326.0769230769231
2023-05-31,237.0
2023-06-01,378.15384615384613
2023-06-02,344.46153846153845
2023-06-03,259.61538461538464
2023-06-04,360.0
2023-06-05,235.76923076923077
2023-06-06,328.15384615384613
2023-06-07,236.07692307692307
2023-06-08,348.46153846153845
2023-06-09,236.92307692307693
2023-06-10,256.2307692307692
2023-06-11,245.84615384615384
2023-06-12,339.38461538461536
2023-06-13,324.61538461538464
2023-06-14,226.07692307692307
2023-06-15,276.9230769230769
2023-06-16,255.07692307692307
2023-06-17,264.3076923076923
2023-06-18,351.61538461538464
2023-06-19,218.69230769230768
2023-06-20,358.9230769230769
2023-06-21,237.0
2023-06-22,372.84615384615387
2023-06-23,254.92307692307693
2023-06-24,267.15384615384613
2023-06-25,347.0769230769231
2023-06-26,234.84615384615384
2023-06-27,386.9230769230769
2023-06-28,236.0
2023-06-29,340.46153846153845
2023-06-30,256.15384615384613
2023-07-01,256.0
2023-07-02,335.61538461538464
2023-07-03,236.84615384615384
2023-07-04,334.6923076923077
2023-07-05,218.69230769230768
2023-07-06,341.0769230769231
2023-07-07,220.53846153846155
2023-07-08,241.15384615384616
